dataset,condition,policy,seeds,seed_ids,full_evidence_mean,full_evidence_std,full_evidence_min,full_evidence_max,support_recall_mean,support_recall_std,support_recall_min,support_recall_max,graph_actions_mean,graph_actions_std,graph_actions_min,graph_actions_max,harmful_expansions_mean,harmful_expansions_std,harmful_expansions_min,harmful_expansions_max,policy_latency_ms_mean,policy_latency_ms_std,policy_latency_ms_min,policy_latency_ms_max
2wiki,clean,hybrid,1,101,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03491950407624245,0.0,0.03491950407624245,0.03491950407624245
2wiki,clean,mrv_gated,1,101,0.572,0.0,0.572,0.572,0.815,0.0,0.815,0.815,1.52,0.0,1.52,1.52,1.107,0.0,1.107,1.107,56.27923970366828,0.0,56.27923970366828,56.27923970366828
2wiki,dropout_10,hybrid,5,101 202 303 404 505,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022233119793236257,0.0020235868329742646,0.020019300980493426,0.02464869595132768
2wiki,dropout_10,mrv_gated,5,101 202 303 404 505,0.5458000000000001,0.0014832396974191339,0.544,0.548,0.7985,0.001334634781503902,0.7975,0.80075,1.454,0.00902773504263387,1.446,1.468,1.0836000000000001,0.006188699378706332,1.078,1.094,38.630973217543215,2.942789578412033,34.97080879891291,41.65374239603989
2wiki,dropout_25,hybrid,5,101 202 303 404 505,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02190717961639166,0.001715666577637767,0.019930602051317692,0.023604702204465866
2wiki,dropout_25,mrv_gated,5,101 202 303 404 505,0.5232,0.00268328157299975,0.521,0.527,0.7829,0.00255318428633734,0.77975,0.7865,1.4158,0.019511535049810926,1.387,1.435,1.0884,0.01668232597691343,1.071,1.108,36.62340242434293,2.7206495112458633,33.4373759040609,38.84510020632297
2wiki,dropout_50,hybrid,5,101 202 303 404 505,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02102334164083004,0.0013899281719574788,0.019552701385691762,0.0225748042576015
2wiki,dropout_50,mrv_gated,5,101 202 303 404 505,0.46340000000000003,0.0033615472627943252,0.46,0.467,0.7471,0.002661061818147023,0.744,0.7505,1.2312,0.019357169214531327,1.201,1.254,1.0054,0.01866279721799496,0.981,1.032,29.51037094127387,2.078804531102174,27.01714230561629,31.41167299845256
2wiki,false_edges_10,hybrid,5,101 202 303 404 505,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021632362017408015,0.0012955326004067565,0.020285202423110604,0.023155099246650934
2wiki,false_edges_10,mrv_gated,5,101 202 303 404 505,0.4402,0.009909591313470004,0.425,0.45,0.73165,0.00662995098021096,0.72125,0.73825,1.6536,0.016102794788483185,1.632,1.67,1.4558,0.024252834885843805,1.424,1.479,35.98568920120597,2.510697385756747,33.2199207006488,38.68960360111669
2wiki,false_edges_25,hybrid,5,101 202 303 404 505,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739659504964946,0.0018487642538219963,0.019236300140619278,0.023135201074182987
2wiki,false_edges_25,mrv_gated,5,101 202 303 404 505,0.3452,0.005890670590009235,0.338,0.353,0.67205,0.0030020826104556293,0.66725,0.675,1.8242,0.008074651695274524,1.812,1.831,1.7754,0.00958123165360279,1.764,1.788,38.24299221755937,2.841532226825208,34.88617590093054,41.11862219683826
2wiki,false_edges_50,hybrid,5,101 202 303 404 505,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021645639836788178,0.001803039164708049,0.019442699383944273,0.023412001319229603
2wiki,false_edges_50,mrv_gated,5,101 202 303 404 505,0.317,0.0014142135623730963,0.315,0.318,0.654,0.0007071067811865285,0.653,0.6545,1.9416,0.00522494019104524,1.936,1.95,1.9384000000000001,0.006308724118234965,1.931,1.948,38.21945086009801,2.6885265092276467,35.00402469839901,40.58319510309957
2wiki,mixed_25_25,hybrid,5,101 202 303 404 505,0.367,0.0,0.367,0.367,0.68825,0.0,0.68825,0.68825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02163089974783361,0.0013452283001213598,0.02019359590485692,0.023221698589622974
2wiki,mixed_25_25,mrv_gated,5,101 202 303 404 505,0.33940000000000003,0.005856620185738516,0.333,0.347,0.6678,0.0032035136959283057,0.66275,0.671,1.839,0.0129034879005639,1.818,1.851,1.8036,0.01582087228947888,1.78,1.82,40.645675860578194,2.77327102554265,37.342370704514906,43.0976943008136
hotpot,clean,hybrid,1,101,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032383901067078114,0.0,0.032383901067078114,0.032383901067078114
hotpot,clean,mrv_gated,1,101,0.81,0.0,0.81,0.81,0.8965,0.0,0.8965,0.8965,1.569,0.0,1.569,1.569,1.201,0.0,1.201,1.201,43.581541606457904,0.0,43.581541606457904,43.581541606457904
hotpot,dropout_10,hybrid,5,101 202 303 404 505,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027324039954692125,0.004895233468469026,0.02315070037730038,0.03368389583192766
hotpot,dropout_10,mrv_gated,5,101 202 303 404 505,0.7682,0.002167948338867882,0.766,0.771,0.8768,0.001036822067666395,0.8755,0.878,1.5084,0.006841052550594834,1.502,1.52,1.2034,0.010968135666557008,1.193,1.219,37.53884061910212,7.692767430166439,29.619576703058556,46.65037969942205
hotpot,dropout_25,hybrid,5,101 202 303 404 505,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02738081952556968,0.004415550276375837,0.023573402548208833,0.03238749806769192
hotpot,dropout_25,mrv_gated,5,101 202 303 404 505,0.7432,0.00870057469366249,0.735,0.757,0.8636,0.003959166578965834,0.86,0.87,1.5093999999999999,0.005504543577809145,1.503,1.515,1.2338,0.008584870412533863,1.223,1.246,36.44929160214961,6.406595687039425,29.75753010273911,43.943683702265844
hotpot,dropout_50,hybrid,5,101 202 303 404 505,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026901497738435864,0.0051842339163728785,0.022132295882329345,0.03327979752793908
hotpot,dropout_50,mrv_gated,5,101 202 303 404 505,0.6846,0.00879204185613327,0.671,0.695,0.8338,0.004410215414240014,0.827,0.8385,1.4592,0.012657013865837393,1.443,1.473,1.2691999999999999,0.015270887335056783,1.245,1.285,34.24097129977308,6.997807055830152,26.706980800256133,42.03986239666119
hotpot,false_edges_10,hybrid,5,101 202 303 404 505,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02612433913163841,0.004001123031550748,0.02315289876423776,0.03293069591745734
hotpot,false_edges_10,mrv_gated,5,101 202 303 404 505,0.6598,0.008167006795638174,0.648,0.668,0.8195,0.004107919181288739,0.8135,0.824,1.658,0.0037416573867739447,1.654,1.662,1.4832,0.012357184145265432,1.471,1.5,35.63021278027445,5.106908063947603,30.3899734003935,43.95598209626041
hotpot,false_edges_25,hybrid,5,101 202 303 404 505,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02544050021097064,0.0044493642846861825,0.02271499903872609,0.033316500252112746
hotpot,false_edges_25,mrv_gated,5,101 202 303 404 505,0.5716,0.008502940667792495,0.56,0.58,0.774,0.0045138675213169605,0.768,0.779,1.7853999999999999,0.010549881515922385,1.769,1.796,1.715,0.008717797887081356,1.705,1.725,34.85532374121249,6.759292902859533,29.40704150358215,46.637198998825625
hotpot,false_edges_50,hybrid,5,101 202 303 404 505,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02520518032833934,0.004412003065395434,0.022634901339188218,0.03303360124118626
hotpot,false_edges_50,mrv_gated,5,101 202 303 404 505,0.5356000000000001,0.0023021728866442696,0.532,0.538,0.7559,0.001193733638631324,0.754,0.757,1.836,0.004847679857416368,1.831,1.842,1.8092,0.004764451699828668,1.803,1.816,34.765929038776086,6.505608580786664,29.404772399226204,46.07565339375287
hotpot,mixed_25_25,hybrid,5,101 202 303 404 505,0.64,0.0,0.64,0.64,0.814,0.0,0.814,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02598181562498212,0.0029693640498966237,0.023185492027550936,0.03020699438638985
hotpot,mixed_25_25,mrv_gated,5,101 202 303 404 505,0.5636,0.010502380682492853,0.549,0.574,0.7696,0.005103920062069955,0.7625,0.7745,1.7704,0.011304866208850068,1.755,1.785,1.7134,0.011148990985735003,1.702,1.727,37.246672780904916,3.59405331834116,33.77992570097558,41.86816249927506
musique,clean,hybrid,1,101,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027145702624693513,0.0,0.027145702624693513,0.027145702624693513
musique,clean,mrv_gated,1,101,0.252,0.0,0.252,0.252,0.5613333333333334,0.0,0.5613333333333334,0.5613333333333334,2.694,0.0,2.694,2.694,2.395,0.0,2.395,2.395,71.32171099935658,0.0,71.32171099935658,71.32171099935658
musique,dropout_10,hybrid,5,101 202 303 404 505,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02753841793164611,0.002301662702040154,0.025600197492167354,0.030373099260032177
musique,dropout_10,mrv_gated,5,101 202 303 404 505,0.236,0.007810249675906648,0.228,0.247,0.54925,0.0035847865270395925,0.5454166666666667,0.5548333333333334,2.6282,0.006099180272790659,2.619,2.633,2.3636,0.013538833036860933,2.349,2.384,74.18144445936196,7.226518009047245,67.98986270022579,83.11906239739619
musique,dropout_25,hybrid,5,101 202 303 404 505,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026687420066446067,0.0015348677089558407,0.02547400165349245,0.029330702032893896
